Name,RA,Dec
M1,05:34:31.97,+22:00:52.1
M2,21:33:27.01,-00:49:23.9
M3,13:42:11.23,+28:22:31.6
M4,16:23:35.40,-26:31:31.9
M5,15:18:33.75,+02:04:57.7
M6,17:40:20.75,-32:15:15.0
M7,17:53:51.18,-34:47:34.2
M8,18:03:41.27,-24:22:48.6
M9,17:19:11.78,-18:30:58.5
M10,16:57:08.99,-04:05:57.6
M11,18:51:05.99,-06:16:12.1
M12,16:47:14.52,-01:56:52.2
M13,16:41:41.63,+36:27:40.7
M14,17:37:36.16,-03:14:45.3
M15,21:29:58.38,+12:10:00.6
M16,18:18:48.17,-13:48:26.0
M17,18:20:47.11,-16:10:17.5
M18,18:19:58.49,-17:06:07.1
M19,17:02:37.68,-26:16:04.6
M20,18:02:42.11,-22:58:18.8
M21,18:04:13.45,-22:29:24.2
M22,18:36:24.20,-23:54:12.3
M23,17:57:04.77,-18:59:07.2
M24,18:16:56.12,-18:30:52.4
M25,18:31:46.77,-19:06:53.8
M26,18:45:18.66,-09:23:01.0
M27,19:59:36.38,+22:43:15.7
M28,18:24:32.89,-24:52:11.4
M29,20:23:57.77,+38:30:27.6
M30,21:40:22.02,-23:10:44.7
M31,00:42:44.35,+41:16:08.6
M32,00:42:41.83,+40:51:55.0
M33,01:33:50.89,+30:39:36.8
M34,02:42:07.40,+42:44:46.1
M35,06:09:05.06,+24:20:19.1
M36,05:36:17.74,+34:08:26.7
M37,05:52:18.35,+32:33:10.8
M38,05:28:42.49,+35:51:17.7
M39,21:31:48.32,+48:26:17.4
M40,,
M41,06:45:59.94,-20:45:15.2
M42,05:35:16.48,-05:23:22.8
M43,05:35:31.38,-05:16:02.9
M44,08:40:22.20,+19:40:19.4
M45,,
M46,07:41:46.82,-14:48:36.0
M47,07:36:35.02,-14:28:57.4
M48,08:13:43.18,-05:45:01.6
M49,12:29:46.76,+08:00:01.7
M50,07:02:40.47,-08:21:50.5
M51,13:29:52.71,+47:11:42.6
M52,23:24:48.40,+61:35:35.4
M53,13:12:55.23,+18:10:08.8
M54,18:55:03.27,-30:28:42.6
M55,19:39:59.40,-30:57:43.5
M56,19:16:35.51,+30:11:04.2
M57,18:53:35.01,+33:01:42.9
M58,12:37:43.52,+11:49:05.5
M59,12:42:02.24,+11:38:49.3
M60,12:43:39.98,+11:33:09.7
M61,12:21:54.90,+04:28:25.1
M62,17:01:12.60,-30:06:44.5
M63,13:15:49.33,+42:01:45.4
M64,12:56:43.64,+21:40:58.7
M65,11:18:55.92,+13:05:32.5
M66,11:20:14.96,+12:59:29.5
M67,08:51:20.13,+11:48:43.0
M68,12:39:28.01,-26:44:34.9
M69,18:31:23.23,-32:20:52.7
M70,18:43:12.64,-32:17:30.8
M71,19:53:46.11,+18:46:42.2
M72,20:53:27.91,-12:32:13.4
M73,20:58:55.97,-12:38:07.8
M74,01:36:41.75,+15:47:01.2
M75,20:06:04.84,-21:55:20.0
M76,01:42:19.69,+51:34:31.7
M77,02:42:40.71,-00:00:47.8
M78,05:46:45.82,+00:04:45.5
M79,05:24:10.59,-24:31:27.2
M80,16:17:02.51,-22:58:30.4
M81,09:55:33.17,+69:03:55.1
M82,09:55:52.73,+69:40:45.8
M83,13:37:00.95,-29:51:55.5
M84,12:25:03.74,+12:53:13.1
M85,12:25:24.11,+18:11:29.4
M86,12:26:11.74,+12:56:46.4
M87,12:30:49.42,+12:23:28.0
M88,12:31:59.16,+14:25:13.4
M89,12:35:39.81,+12:33:22.8
M90,12:36:49.79,+13:09:46.6
M91,12:35:26.45,+14:29:46.8
M92,17:17:07.27,+43:08:11.5
M93,07:44:29.23,-23:51:11.1
M94,12:50:53.06,+41:07:13.6
M95,10:43:57.70,+11:42:13.7
M96,10:46:45.74,+11:49:11.8
M97,11:14:47.71,+55:01:08.5
M98,12:13:48.29,+14:54:01.2
M99,12:18:49.60,+14:24:59.4
M100,12:22:54.83,+15:49:18.5
M101,14:03:12.54,+54:20:56.2
M102,,
M103,01:33:21.81,+60:39:28.8
M104,12:39:59.43,-11:37:23.0
M105,10:47:49.59,+12:34:53.8
M106,12:18:57.50,+47:18:14.3
M107,16:32:31.92,-13:03:13.1
M108,11:11:30.97,+55:40:26.8
M109,11:57:35.98,+53:22:28.3
M110,00:40:22.08,+41:41:07.1
